optimizer_type,norm_type,learning_rate,kernel_num,init_type,epoch,avg_loss,epoch_time,total_time,converged,convergence_epoch,accuracy
0,0,0.01,4,1,1,0.857,1.376063,166.062849,1,74,0.95
0,0,0.01,4,1,2,0.330538,1.506447,166.062849,1,74,0.95
0,0,0.01,4,1,3,0.266729,1.442181,166.062849,1,74,0.95
0,0,0.01,4,1,4,0.23032,1.367326,166.062849,1,74,0.95
0,0,0.01,4,1,5,0.16951,1.378414,166.062849,1,74,0.95
0,0,0.01,4,1,6,0.180147,1.414736,166.062849,1,74,0.95
0,0,0.01,4,1,7,0.122438,1.408737,166.062849,1,74,0.95
0,0,0.01,4,1,8,0.127379,1.428585,166.062849,1,74,0.95
0,0,0.01,4,1,9,0.197461,1.413286,166.062849,1,74,0.95
0,0,0.01,4,1,10,0.119523,1.457484,166.062849,1,74,0.95
0,0,0.01,4,1,11,0.082036,1.393883,166.062849,1,74,0.95
0,0,0.01,4,1,12,0.070833,1.433502,166.062849,1,74,0.95
0,0,0.01,4,1,13,0.090786,1.449757,166.062849,1,74,0.95
0,0,0.01,4,1,14,0.103478,1.43904,166.062849,1,74,0.95
0,0,0.01,4,1,15,0.078107,1.45097,166.062849,1,74,0.95
0,0,0.01,4,1,16,0.055852,1.409563,166.062849,1,74,0.95
0,0,0.01,4,1,17,0.080527,1.387881,166.062849,1,74,0.95
0,0,0.01,4,1,18,0.041411,1.441569,166.062849,1,74,0.95
0,0,0.01,4,1,19,0.07681,1.428906,166.062849,1,74,0.95
0,0,0.01,4,1,20,0.069273,1.442777,166.062849,1,74,0.95
0,0,0.01,4,1,21,0.071439,1.418678,166.062849,1,74,0.95
0,0,0.01,4,1,22,0.070593,1.40153,166.062849,1,74,0.95
0,0,0.01,4,1,23,0.110516,1.425954,166.062849,1,74,0.95
0,0,0.01,4,1,24,0.113551,1.450805,166.062849,1,74,0.95
0,0,0.01,4,1,25,0.089171,1.477079,166.062849,1,74,0.95
0,0,0.01,4,1,26,0.08765,1.431318,166.062849,1,74,0.95
0,0,0.01,4,1,27,0.096704,1.482475,166.062849,1,74,0.95
0,0,0.01,4,1,28,0.078207,1.424115,166.062849,1,74,0.95
0,0,0.01,4,1,29,0.04242,1.455008,166.062849,1,74,0.95
0,0,0.01,4,1,30,0.214382,1.437407,166.062849,1,74,0.95
0,0,0.01,4,1,31,0.101252,1.433048,166.062849,1,74,0.95
0,0,0.01,4,1,32,0.044439,1.441501,166.062849,1,74,0.95
0,0,0.01,4,1,33,0.129347,1.414308,166.062849,1,74,0.95
0,0,0.01,4,1,34,0.067892,1.565057,166.062849,1,74,0.95
0,0,0.01,4,1,35,0.173934,1.430399,166.062849,1,74,0.95
0,0,0.01,4,1,36,0.065033,1.82063,166.062849,1,74,0.95
0,0,0.01,4,1,37,0.099372,3.104083,166.062849,1,74,0.95
0,0,0.01,4,1,38,0.043688,2.409766,166.062849,1,74,0.95
0,0,0.01,4,1,39,0.060048,1.663346,166.062849,1,74,0.95
0,0,0.01,4,1,40,0.095512,1.588131,166.062849,1,74,0.95
0,0,0.01,4,1,41,0.094154,1.80156,166.062849,1,74,0.95
0,0,0.01,4,1,42,0.156259,1.618013,166.062849,1,74,0.95
0,0,0.01,4,1,43,0.033062,1.465916,166.062849,1,74,0.95
0,0,0.01,4,1,44,0.110811,1.544565,166.062849,1,74,0.95
0,0,0.01,4,1,45,0.034391,1.595405,166.062849,1,74,0.95
0,0,0.01,4,1,46,0.099178,1.76237,166.062849,1,74,0.95
0,0,0.01,4,1,47,0.084335,1.684087,166.062849,1,74,0.95
0,0,0.01,4,1,48,0.075281,1.70713,166.062849,1,74,0.95
0,0,0.01,4,1,49,0.089988,1.560218,166.062849,1,74,0.95
0,0,0.01,4,1,50,0.097279,1.633074,166.062849,1,74,0.95
0,0,0.01,4,1,51,0.125119,1.807595,166.062849,1,74,0.95
0,0,0.01,4,1,52,0.087463,1.900705,166.062849,1,74,0.95
0,0,0.01,4,1,53,0.099245,2.941506,166.062849,1,74,0.95
0,0,0.01,4,1,54,0.058153,2.783515,166.062849,1,74,0.95
0,0,0.01,4,1,55,0.056627,1.942909,166.062849,1,74,0.95
0,0,0.01,4,1,56,0.070396,1.791513,166.062849,1,74,0.95
0,0,0.01,4,1,57,0.138899,1.825989,166.062849,1,74,0.95
0,0,0.01,4,1,58,0.071759,1.809544,166.062849,1,74,0.95
0,0,0.01,4,1,59,0.050104,1.552474,166.062849,1,74,0.95
0,0,0.01,4,1,60,0.10317,1.911708,166.062849,1,74,0.95
0,0,0.01,4,1,61,0.149404,3.583833,166.062849,1,74,0.95
0,0,0.01,4,1,62,0.092926,1.939977,166.062849,1,74,0.95
0,0,0.01,4,1,63,0.03375,1.411863,166.062849,1,74,0.95
